[0.000000] (-) TimerEvent: {}
[0.000170] (my_box_bot_gazebo) JobQueued: {'identifier': 'my_box_bot_gazebo', 'dependencies': OrderedDict()}
[0.000200] (my_box_bot_gazebo) JobStarted: {'identifier': 'my_box_bot_gazebo'}
[0.012179] (my_box_bot_gazebo) JobProgress: {'identifier': 'my_box_bot_gazebo', 'progress': 'cmake'}
[0.014310] (my_box_bot_gazebo) JobProgress: {'identifier': 'my_box_bot_gazebo', 'progress': 'build'}
[0.014452] (my_box_bot_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo', '--', '-j16', '-l16'], 'cwd': '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'ilya22'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox/lib:/home/ilya22/ros2_humble/install/autocar_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/ilya22'), ('OLDPWD', '/home/ilya22/ros2_humble/src'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('SYSTEMD_EXEC_PID', '1902'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('COLCON_PREFIX_PATH', '/home/ilya22/ros2_humble/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'ilya22'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'ilya22'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/ilya22-ROG-Zephyrus-G15-GA502IU-GA502IU:@/tmp/.ICE-unix/1632,unix/ilya22-ROG-Zephyrus-G15-GA502IU-GA502IU:/tmp/.ICE-unix/1632'), ('XDG_MENU_PREFIX', 'gnome-'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/c96b0b5c_6399_4e24_8a17_1cd5cddf7243'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.92'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox:/home/ilya22/ros2_humble/install/robocross:/home/ilya22/ros2_humble/install/my_robot1:/home/ilya22/ros2_humble/install/my_robot:/home/ilya22/ros2_humble/install/my_box_bot_gazebo:/home/ilya22/ros2_humble/install/launches:/home/ilya22/ros2_humble/install/gazebo_noiser:/home/ilya22/ros2_humble/install/autocar_nav:/home/ilya22/ros2_humble/install/autocar_msgs:/home/ilya22/ros2_humble/install/autocar_map:/home/ilya22/ros2_humble/install/autocar_gazebo:/home/ilya22/ros2_humble/install/autocar_description:/home/ilya22/ros2_humble/install/ar_ht_gazebo:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/ilya22/ros2_humble/install/slam_toolbox/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/robocross/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/my_robot1/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/gazebo_noiser/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/autocar_nav/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/autocar_msgs/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/ar_ht_gazebo/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox:/home/ilya22/ros2_humble/install/robocross:/home/ilya22/ros2_humble/install/my_robot1:/home/ilya22/ros2_humble/install/my_robot:/home/ilya22/ros2_humble/install/my_box_bot_gazebo:/home/ilya22/ros2_humble/install/launches:/home/ilya22/ros2_humble/install/autocar_nav:/home/ilya22/ros2_humble/install/autocar_msgs:/home/ilya22/ros2_humble/install/autocar_map:/home/ilya22/ros2_humble/install/autocar_gazebo:/home/ilya22/ros2_humble/install/autocar_description:/home/ilya22/ros2_humble/install/ar_ht_gazebo:/home/ilya22/ros2_humble/install/gazebo_noiser:/opt/ros/humble')]), 'shell': False}
[0.097821] (my_box_bot_gazebo) CommandEnded: {'returncode': 0}
[0.099229] (-) TimerEvent: {}
[0.117268] (my_box_bot_gazebo) JobProgress: {'identifier': 'my_box_bot_gazebo', 'progress': 'install'}
[0.124940] (my_box_bot_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo'], 'cwd': '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'ilya22'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox/lib:/home/ilya22/ros2_humble/install/autocar_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/ilya22'), ('OLDPWD', '/home/ilya22/ros2_humble/src'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('SYSTEMD_EXEC_PID', '1902'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('COLCON_PREFIX_PATH', '/home/ilya22/ros2_humble/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'ilya22'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'ilya22'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/ilya22-ROG-Zephyrus-G15-GA502IU-GA502IU:@/tmp/.ICE-unix/1632,unix/ilya22-ROG-Zephyrus-G15-GA502IU-GA502IU:/tmp/.ICE-unix/1632'), ('XDG_MENU_PREFIX', 'gnome-'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/c96b0b5c_6399_4e24_8a17_1cd5cddf7243'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.92'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox:/home/ilya22/ros2_humble/install/robocross:/home/ilya22/ros2_humble/install/my_robot1:/home/ilya22/ros2_humble/install/my_robot:/home/ilya22/ros2_humble/install/my_box_bot_gazebo:/home/ilya22/ros2_humble/install/launches:/home/ilya22/ros2_humble/install/gazebo_noiser:/home/ilya22/ros2_humble/install/autocar_nav:/home/ilya22/ros2_humble/install/autocar_msgs:/home/ilya22/ros2_humble/install/autocar_map:/home/ilya22/ros2_humble/install/autocar_gazebo:/home/ilya22/ros2_humble/install/autocar_description:/home/ilya22/ros2_humble/install/ar_ht_gazebo:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/ilya22/ros2_humble/src/my_box_bot_gazebo/build/my_box_bot_gazebo'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/ilya22/ros2_humble/install/slam_toolbox/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/robocross/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/my_robot1/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/gazebo_noiser/lib/python3.10/site-packages:/home/ilya22/ros2_humble/install/autocar_nav/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/autocar_msgs/local/lib/python3.10/dist-packages:/home/ilya22/ros2_humble/install/ar_ht_gazebo/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/ilya22/ros2_humble/install/slam_toolbox:/home/ilya22/ros2_humble/install/robocross:/home/ilya22/ros2_humble/install/my_robot1:/home/ilya22/ros2_humble/install/my_robot:/home/ilya22/ros2_humble/install/my_box_bot_gazebo:/home/ilya22/ros2_humble/install/launches:/home/ilya22/ros2_humble/install/autocar_nav:/home/ilya22/ros2_humble/install/autocar_msgs:/home/ilya22/ros2_humble/install/autocar_map:/home/ilya22/ros2_humble/install/autocar_gazebo:/home/ilya22/ros2_humble/install/autocar_description:/home/ilya22/ros2_humble/install/ar_ht_gazebo:/home/ilya22/ros2_humble/install/gazebo_noiser:/opt/ros/humble')]), 'shell': False}
[0.130685] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.131142] (my_box_bot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/ilya22/ros2_humble/src/my_box_bot_gazebo/install/my_box_bot_gazebo/lib/my_box_bot_gazebo/teleop.py\n'}
